epoch,accuracy,loss,val_accuracy,val_loss
0,0.1386,4.4649,0.3090,2.3092
1,0.3144,2.2586,0.3970,1.8903
2,0.3618,2.0725,0.4350,1.7915
3,0.4049,1.9425,0.4610,1.6813
4,0.4232,1.8408,0.4970,1.6114
5,0.4267,1.8439,0.4670,1.6950
6,0.4407,1.7900,0.4860,1.6290
7,0.4578,1.7386,0.4760,1.7194
8,0.4587,1.7490,0.5050,1.5986
9,0.4645,1.7116,0.4920,1.5814
10,0.4815,1.6799,0.4950,1.5410
11,0.4840,1.6608,0.4860,1.5699
12,0.4779,1.6576,0.4820,1.5677
13,0.4832,1.6556,0.5040,1.5369
14,0.4762,1.6595,0.5200,1.5827
15,0.4905,1.6243,0.5260,1.5154
16,0.4908,1.6228,0.5280,1.5655
17,0.4859,1.6373,0.5140,1.5023
18,0.4983,1.6339,0.5150,1.5160
19,0.4996,1.6059,0.5040,1.5581
